term_set,label,pattern,attr,replace,inside,postal
us_locations,us_county,cloud,lower,,KS,
us_locations,us_county,coahoma,lower,,MS,
us_locations,us_county,coal,lower,,OK,
us_locations,us_county,cobb,lower,,GA,
us_locations,us_county,cochise,lower,,AZ,
us_locations,us_county,cochran,lower,,TX,
us_locations,us_county,cocke,lower,,TN,
us_locations,us_county,coconino,lower,,AZ,
us_locations,us_county,codington,lower,,SD,
us_locations,us_county,coffee,lower,,AL GA TN,
us_locations,us_county,coffey,lower,,KS,
us_locations,us_county,coke,lower,,TX,
us_locations,us_county,colbert,lower,,AL,
us_locations,us_county,cole,lower,,MO,
us_locations,us_county,coleman,lower,,TX,
us_locations,us_county,coles,lower,,IL,
us_locations,us_county,colfax,lower,,NE NM,
us_locations,us_county,colleton,lower,,SC,
us_locations,us_county,collier,lower,,FL,
us_locations,us_county,collin,lower,,TX,
us_locations,us_county,collingsworth,lower,,TX,
us_locations,us_county,colonial heights,lower,,VA,
us_locations,us_county,colquitt,lower,,,
us_locations,us_county,columbia,lower,,AR FL GA NY OR PA WA WI,
us_locations,us_county,columbiana,lower,,OH,
us_locations,us_county,columbus,lower,,NC,
us_locations,us_county,colusa,lower,,CA,
us_locations,us_county,comal,lower,,TX,
us_locations,us_county,comanche,lower,,KS OK TX,
us_locations,us_county,concho,lower,,TX,
us_locations,us_county,concordia,lower,,LA,
us_locations,us_county,conecuh,lower,,AL,
us_locations,us_county,conejos,lower,,CO,
us_locations,us_county,contra costa,lower,,CA,
us_locations,us_county,converse,lower,,WY,
us_locations,us_county,conway,lower,,AR,
us_locations,us_county,cook,lower,,GA IL MN,
us_locations,us_county,cooke,lower,,TX,
us_locations,us_county,cooper,lower,,MO,
us_locations,us_county,coos,lower,,NH OR,
us_locations,us_county,coosa,lower,,AL,
us_locations,us_county,copiah,lower,,MS,
us_locations,us_county,corson,lower,,SD,
us_locations,us_county,cortland,lower,,NY,
us_locations,us_county,coryell,lower,,TX,
us_locations,us_county,coshocton,lower,,OH,
us_locations,us_county,costilla,lower,,CO,
us_locations,us_county,cottle,lower,,TX,
us_locations,us_county,cotton,lower,,OK,
us_locations,us_county,cottonwood,lower,,MN,
us_locations,us_county,covington,lower,,AL MS VA,
us_locations,us_county,coweta,lower,,GA,
us_locations,us_county,cowley,lower,,KS,
us_locations,us_county,cowlitz,lower,,WA,
us_locations,us_county,craig,lower,,OK VA,
us_locations,us_county,craighead,lower,,AR,
us_locations,us_county,crane,lower,,TX,
us_locations,us_county,craven,lower,,NC,
us_locations,us_county,crawford,lower,,AR GA IL IN IA KS MI MO OH PA WI,
us_locations,us_county,creek,lower,,OK,
us_locations,us_county,crenshaw,lower,,AL,
us_locations,us_county,crisp,lower,,GA,
us_locations,us_county,crittenden,lower,,AR KY,
us_locations,us_county,crockett,lower,,TN TX,
us_locations,us_county,crook,lower,,OR WY,
us_locations,us_county,crosby,lower,,TX,
us_locations,us_county,cross,lower,,AR,
us_locations,us_county,crow wing,lower,,MN,
us_locations,us_county,crowley,lower,,CO,
us_locations,us_county,culberson,lower,,TX,
us_locations,us_county,cullman,lower,,AL,
us_locations,us_county,culpeper,lower,,VA,
us_locations,us_county,cumberland,lower,,IL KY ME NJ NC PA TN VA,
us_locations,us_county,cuming,lower,,NE,
us_locations,us_county,currituck,lower,,NC,
us_locations,us_county,curry,lower,,NM OR,
us_locations,us_county,custer,lower,,CO ID MT NE OK SD,
us_locations,us_county,cuyahoga,lower,,OH,
